datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
03-May-2015 05:10:00,0,0.13,19.33,Nest,0,1,-0.675382735533556
03-May-2015 05:11:00,0.07,0.69,19.08,Nest,0,1,-0.555623671442806
03-May-2015 05:12:00,0,0.32,19.08,Nest,0,1,-0.675382735533556
03-May-2015 05:13:00,0,0.0600000000000001,19.2,Nest,0,1,-0.675382735533556
03-May-2015 05:14:00,0,0.13,19.45,Nest,0,1,-0.675382735533556
03-May-2015 05:15:00,0,1.69,19.57,Nest,0,1,-0.675382735533556
03-May-2015 05:16:00,0.19,0.81,19.57,Nest,0,1,-0.350322418715804
03-May-2015 05:17:00,0.44,0.8,19.81,Nest,1,0,0.0773885244654482
03-May-2015 05:18:00,0,0.38,19.81,Nest,0,1,-0.675382735533556
03-May-2015 05:19:00,0.0600000000000001,0.12,19.94,Nest,0,1,-0.572732109170056
03-May-2015 05:20:00,0,0.13,19.81,Nest,0,1,-0.675382735533556
03-May-2015 05:21:00,0.0600000000000001,0.19,19.94,Nest,0,1,-0.572732109170056
03-May-2015 05:22:00,0.12,0.37,20,Nest,0,1,-0.470081482806555
03-May-2015 05:23:00,0.07,1.25,20.06,Nest,0,1,-0.555623671442806
03-May-2015 05:24:00,0.45,0.7,19.94,Nest,1,0,0.0944969621926983
03-May-2015 05:25:00,0.31,1,19.81,Nest,1,0,-0.145021165988803
03-May-2015 05:26:00,0.43,0.58,19.94,Nest,1,0,0.0602800867381981
03-May-2015 05:27:00,0.19,0.94,19.81,Nest,0,1,-0.350322418715804
03-May-2015 05:28:00,0.07,0.38,20.06,Nest,0,1,-0.555623671442806
03-May-2015 05:29:00,0.06,0.74,20.06,Nest,0,1,-0.572732109170056
03-May-2015 05:30:00,0.12,0.18,19.94,Nest,0,1,-0.470081482806555
